identifier	text	seq	syn	dep_left	dep_right	chunk
amphibian	a flat-bottomed motor vehicle that can travel on land or water.	['a', 'flat-bottomed', 'motor', 'vehicle', 'that', 'can', 'travel', 'on', 'land', 'or', 'water', '.']	[[['a', 'flat-bottomed', 'motor', 'vehicle'], ['that', ['can', ['travel', ['on', ['land', 'or', 'water']]]]]], '.']	['vehicle', 'a', 'flat-bottomed', 'motor', ['travel', 'that', 'can', ['land', 'on', 'or', 'water']], '.']	['a', 'flat-bottomed', 'motor', ['that', 'can', ['on', 'or', 'water', 'land'], 'travel'], '.', 'vehicle']	[['a', 'flat', '-', 'bottomed', 'motor', 'vehicle'], 'that', 'can', 'travel', 'on', 'land', 'or', 'water', '.']
ancient	a very old person.	['a', 'very', 'old', 'person', '.']	[['a', ['very', 'old'], 'person'], '.']	['person', 'a', ['old', 'very'], '.']	['a', ['very', 'old'], '.', 'person']	[['a', 'very', 'old', 'person'], '.']
angel	spiritual being attendant upon God.	['spiritual', 'being', 'attendant', 'upon', 'God', '.']	['spiritual', ['being', ['attendant', ['upon', 'God']]], '.']	['attendant', 'spiritual', 'being', ['God', 'upon'], '.']	['spiritual', 'being', ['upon', 'God'], '.', 'attendant']	['spiritual', 'being', 'attendant', 'upon', 'God', '.']
animal	a living organism characterized by voluntary movement.	['a', 'living', 'organism', 'characterized', 'by', 'voluntary', 'movement', '.']	[['a', 'living', 'organism'], ['characterized', ['by', ['voluntary', 'movement']]], '.']	['organism', 'a', 'living', ['characterized', ['movement', 'by', 'voluntary']], '.']	['a', 'living', [['by', 'voluntary', 'movement'], 'characterized'], '.', 'organism']	[['a', 'living', 'organism'], 'characterized', 'by', ['voluntary', 'movement'], '.']
apartment	a suite of rooms usually on one floor of an apartment house.	['a', 'suite', 'of', 'rooms', 'usually', 'on', 'one', 'floor', 'of', 'an', 'apartment', 'house', '.']	[['a', 'suite'], ['of', ['rooms', ['usually', 'on', ['one', 'floor']]]], ['of', ['an', 'apartment', 'house']], '.']	['suite', 'a', ['rooms', 'of'], ['floor', 'usually', 'on', 'one', ['house', 'of', 'an', 'apartment']], '.']	['a', ['of', 'rooms'], ['usually', 'on', 'one', ['of', 'an', 'apartment', 'house'], 'floor'], '.', 'suite']	[['a', 'suite'], 'of', 'rooms', 'usually', 'on', ['one', 'floor'], 'of', ['an', 'apartment', 'house'], '.']
apple	fruit with red or yellow or green skin and sweet to tart crisp whitish flesh.	['fruit', 'with', 'red', 'or', 'yellow', 'or', 'green', 'skin', 'and', 'sweet', 'to', 'tart', 'crisp', 'whitish', 'flesh', '.']	['fruit', ['with', [[['red', 'or', 'yellow', 'or', 'green'], 'skin'], 'and', [['sweet', 'to', 'tart'], 'crisp', 'whitish', 'flesh']]], '.']	['fruit', ['red', 'with', 'or', 'yellow', 'or', 'green', 'skin', 'and', ['sweet', ['flesh', 'to', 'tart', 'crisp', 'whitish']]], '.']	[['with', 'or', 'yellow', 'or', 'green', 'skin', 'and', [['to', 'tart', 'crisp', 'whitish', 'flesh'], 'sweet'], 'red'], '.', 'fruit']	['fruit', 'with', ['red', 'or', 'yellow', 'or', 'green', 'skin'], 'and', 'sweet', 'to', ['tart', 'crisp', 'whitish', 'flesh'], '.']
aquarium	a tank or pool or bowl filled with water for keeping live fish and underwater animals.	['a', 'tank', 'or', 'pool', 'or', 'bowl', 'filled', 'with', 'water', 'for', 'keeping', 'live', 'fish', 'and', 'underwater', 'animals', '.']	[[['a', 'tank'], 'or', ['pool', 'or', 'bowl']], ['filled', ['with', 'water'], ['for', ['keeping', [['live', 'fish'], 'and', ['underwater', 'animals']]]]], '.']	['tank', 'a', 'or', ['pool', 'or', 'bowl'], ['filled', ['water', 'with'], ['keeping', 'for', ['fish', 'live', 'and', ['animals', 'underwater']]]], '.']	['a', 'or', ['or', 'bowl', 'pool'], [['with', 'water'], ['for', ['live', 'and', ['underwater', 'animals'], 'fish'], 'keeping'], 'filled'], '.', 'tank']	[['a', 'tank'], 'or', 'pool', 'or', 'bowl', 'filled', 'with', 'water', 'for', 'keeping', ['live', 'fish', 'and', 'underwater', 'animals'], '.']
arch	a curved shape in the vertical plane that spans an opening.	['a', 'curved', 'shape', 'in', 'the', 'vertical', 'plane', 'that', 'spans', 'an', 'opening', '.']	[['a', 'curved', 'shape'], ['in', [['the', 'vertical', 'plane'], ['that', ['spans', ['an', 'opening']]]]], '.']	['shape', 'a', 'curved', ['plane', 'in', 'the', 'vertical'], ['spans', 'that', ['opening', 'an']], '.']	['a', 'curved', ['in', 'the', 'vertical', 'plane'], ['that', ['an', 'opening'], 'spans'], '.', 'shape']	[['a', 'curved', 'shape'], 'in', ['the', 'vertical', 'plane'], 'that', 'spans', ['an', 'opening'], '.']
architecture	an architectural product or work.	['an', 'architectural', 'product', 'or', 'work', '.']	[[['an', 'architectural', 'product'], 'or', 'work'], '.']	['product', 'an', 'architectural', 'or', 'work', '.']	['an', 'architectural', 'or', 'work', '.', 'product']	[['an', 'architectural', 'product'], 'or', 'work', '.']
arm	a human limb.	['a', 'human', 'limb', '.']	['a', 'human', 'limb', '.']	['limb', 'a', 'human', '.']	['a', 'human', '.', 'limb']	[['a', 'human', 'limb'], '.']
arrow	a mark to indicate a direction or relation.	['a', 'mark', 'to', 'indicate', 'a', 'direction', 'or', 'relation', '.']	[['a', 'mark'], ['to', ['indicate', ['a', 'direction', 'or', 'relation']]], '.']	['mark', 'a', ['indicate', 'to', ['direction', 'a', 'or', 'relation']], '.']	['a', ['to', ['a', 'or', 'relation', 'direction'], 'indicate'], '.', 'mark']	[['a', 'mark'], 'to', 'indicate', ['a', 'direction'], 'or', 'relation', '.']
art	the products of human creativity.	['the', 'products', 'of', 'human', 'creativity', '.']	[['the', 'products'], ['of', ['human', 'creativity']], '.']	['products', 'the', ['creativity', 'of', 'human'], '.']	['the', ['of', 'human', 'creativity'], '.', 'products']	[['the', 'products'], 'of', ['human', 'creativity'], '.']
asphalt	mixed asphalt and crushed gravel or sand.	['mixed', 'asphalt', 'and', 'crushed', 'gravel', 'or', 'sand', '.']	[[['mixed', 'asphalt'], 'and', ['crushed', 'gravel', 'or', 'sand']], '.']	['asphalt', 'mixed', 'and', ['gravel', 'crushed', 'or', 'sand'], '.']	['mixed', 'and', ['crushed', 'or', 'sand', 'gravel'], '.', 'asphalt']	[['mixed', 'asphalt'], 'and', 'crushed', 'gravel', 'or', 'sand', '.']
auto	a motor vehicle with four wheels.	['a', 'motor', 'vehicle', 'with', 'four', 'wheels', '.']	[['a', 'motor', 'vehicle'], ['with', ['four', 'wheels']], '.']	['vehicle', 'a', 'motor', ['wheels', 'with', 'four'], '.']	['a', 'motor', ['with', 'four', 'wheels'], '.', 'vehicle']	[['a', 'motor', 'vehicle'], 'with', ['four', 'wheels'], '.']
automobile	a motor vehicle with four wheels.	['a', 'motor', 'vehicle', 'with', 'four', 'wheels', '.']	[['a', 'motor', 'vehicle'], ['with', ['four', 'wheels']], '.']	['vehicle', 'a', 'motor', ['wheels', 'with', 'four'], '.']	['a', 'motor', ['with', 'four', 'wheels'], '.', 'vehicle']	[['a', 'motor', 'vehicle'], 'with', ['four', 'wheels'], '.']
autumn	the season when the leaves fall from the trees.	['the', 'season', 'when', 'the', 'leaves', 'fall', 'from', 'the', 'trees', '.']	['the', 'season', ['when', [['the', 'leaves'], ['fall', ['from', ['the', 'trees']]]]], '.']	['season', 'the', ['fall', 'when', ['leaves', 'the'], ['trees', 'from', 'the']], '.']	['the', ['when', ['the', 'leaves'], ['from', 'the', 'trees'], 'fall'], '.', 'season']	[['the', 'season'], 'when', ['the', 'leaves'], 'fall', 'from', ['the', 'trees'], '.']
baby	a very young child (birth to 1 year) who has not yet begun to walk or talk.	['a', 'very', 'young', 'child', '(', 'birth', 'to', '1', 'year', ')', 'who', 'has', 'not', 'yet', 'begun', 'to', 'walk', 'or', 'talk', '.']	[[[['a', ['very', 'young'], 'child'], ['-LRB-', ['birth', ['to', ['1', 'year']]], '-RRB-']], ['who', ['has', 'not', 'yet', ['begun', ['to', ['walk', 'or', 'talk']]]]]], '.']	['child', 'a', ['young', 'very'], ['birth', '-LRB-', ['year', 'to', '1'], '-RRB-'], ['begun', 'who', 'has', 'not', 'yet', ['walk', 'to', 'or', 'talk']], '.']	['a', ['very', 'young'], ['-LRB-', ['to', '1', 'year'], '-RRB-', 'birth'], ['who', 'has', 'not', 'yet', ['to', 'or', 'talk', 'walk'], 'begun'], '.', 'child']	[['a', 'very', 'young', 'child'], '(', 'birth', 'to', ['1', 'year'], ')', 'who', 'has', 'not', 'yet', 'begun', 'to', 'walk', 'or', 'talk', '.']
bacon	back and sides of a hog salted and dried or smoked.	['back', 'and', 'sides', 'of', 'a', 'hog', 'salted', 'and', 'dried', 'or', 'smoked', '.']	[[[['back', ['and', ['sides', ['of', ['a', 'hog']]]]], 'salted'], 'and', ['dried', 'or', 'smoked']], '.']	['back', 'and', 'sides', ['hog', 'of', 'a', ['salted', 'and', 'dried', 'or', 'smoked']], '.']	['and', 'sides', ['of', 'a', ['and', 'dried', 'or', 'smoked', 'salted'], 'hog'], '.', 'back']	['back', 'and', 'sides', 'of', ['a', 'hog'], 'salted', 'and', 'dried', 'or', 'smoked', '.']
badge	an emblem (a small piece of plastic or cloth or metal) that signifies your status (rank or membership or affiliation etc.)	['an', 'emblem', '(', 'a', 'small', 'piece', 'of', 'plastic', 'or', 'cloth', 'or', 'metal', ')', 'that', 'signifies', 'your', 'status', '(', 'rank', 'or', 'membership', 'or', 'affiliation', 'etc', '.', ')']	[['an', 'emblem'], ['-LRB-', [['a', 'small', 'piece'], ['of', ['plastic', 'or', 'cloth', 'or', 'metal']]], '-RRB-'], ['that', ['signifies', [['your', 'status'], ['-LRB-', [['rank', 'or', 'membership'], 'or', ['affiliation', 'etc.']], '.', '-RRB-']]]]]	[['emblem', 'an', ['piece', '-LRB-', 'a', 'small', ['plastic', 'of', 'or', ['cloth', 'or', 'metal']], '-RRB-'], ['signifies', 'that', ['status', 'your', ['rank', '-LRB-', 'or', 'membership', 'or', ['etc.', 'affiliation'], '.', '-RRB-']]]], 'etc']	['etc', ['an', ['-LRB-', 'a', 'small', ['of', 'or', ['or', 'metal', 'cloth'], 'plastic'], '-RRB-', 'piece'], ['that', ['your', ['-LRB-', 'or', 'membership', 'or', ['affiliation', 'etc.'], '.', '-RRB-', 'rank'], 'status'], 'signifies'], 'emblem']]	[['an', 'emblem'], '(', ['a', 'small', 'piece'], 'of', 'plastic', 'or', 'cloth', 'or', 'metal', ')', 'that', 'signifies', ['your', 'status'], '(', 'rank', 'or', 'membership', 'or', 'affiliation', 'etc', '.', ')']
bag	a flexible container with a single opening.	['a', 'flexible', 'container', 'with', 'a', 'single', 'opening', '.']	[['a', 'flexible', 'container'], ['with', ['a', 'single', 'opening']], '.']	['container', 'a', 'flexible', ['opening', 'with', 'a', 'single'], '.']	['a', 'flexible', ['with', 'a', 'single', 'opening'], '.', 'container']	[['a', 'flexible', 'container'], 'with', ['a', 'single', 'opening'], '.']
bakery	a workplace where baked goods (breads and cakes and pastries) are produced or sold.	['a', 'workplace', 'where', 'baked', 'goods', '(', 'breads', 'and', 'cakes', 'and', 'pastries', ')', 'are', 'produced', 'or', 'sold', '.']	['a', 'workplace', ['where', [[['baked', 'goods'], ['-LRB-', ['breads', 'and', ['cakes', 'and', 'pastries']], '-RRB-']], ['are', ['produced', 'or', 'sold']]]], '.']	['workplace', 'a', ['produced', 'where', ['goods', 'baked', ['breads', '-LRB-', 'and', 'cakes', 'and', 'pastries', '-RRB-']], 'are', 'or', 'sold'], '.']	['a', ['where', ['baked', ['-LRB-', 'and', 'cakes', 'and', 'pastries', '-RRB-', 'breads'], 'goods'], 'are', 'or', 'sold', 'produced'], '.', 'workplace']	[['a', 'workplace'], 'where', ['baked', 'goods'], '(', 'breads', 'and', 'cakes', 'and', 'pastries', ')', 'are', 'produced', 'or', 'sold', '.']
ball	round object that is hit or thrown or kicked in games.	['round', 'object', 'that', 'is', 'hit', 'or', 'thrown', 'or', 'kicked', 'in', 'games', '.']	[[['round', 'object'], ['that', ['is', [['hit', 'or', 'thrown'], 'or', ['kicked', ['in', 'games']]]]]], '.']	['object', 'round', ['hit', 'that', 'is', 'or', 'thrown', 'or', 'kicked', ['games', 'in']], '.']	['round', ['that', 'is', 'or', 'thrown', 'or', 'kicked', ['in', 'games'], 'hit'], '.', 'object']	[['round', 'object'], 'that', 'is', 'hit', 'or', 'thrown', 'or', 'kicked', 'in', 'games', '.']
banana	any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits.	['any', 'of', 'several', 'tropical', 'and', 'subtropical', 'treelike', 'herbs', 'of', 'the', 'genus', 'Musa', 'having', 'a', 'terminal', 'crown', 'of', 'large', 'entire', 'leaves', 'and', 'usually', 'bearing', 'hanging', 'clusters', 'of', 'elongated', 'fruits', '.']	[['any', ['of', ['several', 'tropical', 'and', 'subtropical', 'treelike', 'herbs']], ['of', ['the', 'genus', 'Musa']]], [['having', [['a', 'terminal', 'crown'], ['of', ['large', 'entire', 'leaves']]]], 'and', 'usually', ['bearing', ['hanging', ['clusters', ['of', ['elongated', 'fruits']]]]]], '.']	['any', ['herbs', 'of', 'several', ['tropical', 'and', 'subtropical'], 'treelike', ['Musa', 'of', 'the', 'genus']], ['having', ['crown', 'a', 'terminal', ['leaves', 'of', 'large', 'entire']], 'and', ['bearing', 'usually', ['hanging', ['clusters', ['fruits', 'of', 'elongated']]]]], '.']	[['of', 'several', ['and', 'subtropical', 'tropical'], 'treelike', ['of', 'the', 'genus', 'Musa'], 'herbs'], [['a', 'terminal', ['of', 'large', 'entire', 'leaves'], 'crown'], 'and', ['usually', [[['of', 'elongated', 'fruits'], 'clusters'], 'hanging'], 'bearing'], 'having'], '.', 'any']	['any', 'of', ['several', 'tropical', 'and', 'subtropical', 'treelike', 'herbs'], 'of', ['the', 'genus', 'Musa'], 'having', ['a', 'terminal', 'crown'], 'of', ['large', 'entire', 'leaves'], 'and', 'usually', 'bearing', ['hanging', 'clusters'], 'of', ['elongated', 'fruits'], '.']
band	an unofficial association of people or groups.	['an', 'unofficial', 'association', 'of', 'people', 'or', 'groups', '.']	[['an', 'unofficial', 'association'], ['of', ['people', 'or', 'groups']], '.']	['association', 'an', 'unofficial', ['people', 'of', 'or', 'groups'], '.']	['an', 'unofficial', ['of', 'or', 'groups', 'people'], '.', 'association']	[['an', 'unofficial', 'association'], 'of', 'people', 'or', 'groups', '.']
bar	a room or establishment where alcoholic drinks are served over a counter.	['a', 'room', 'or', 'establishment', 'where', 'alcoholic', 'drinks', 'are', 'served', 'over', 'a', 'counter', '.']	[['a', 'room', 'or', 'establishment'], ['where', [['alcoholic', 'drinks'], ['are', ['served', ['over', ['a', 'counter']]]]]], '.']	['room', 'a', 'or', 'establishment', ['served', 'where', ['drinks', 'alcoholic'], 'are', ['counter', 'over', 'a']], '.']	['a', 'or', 'establishment', ['where', ['alcoholic', 'drinks'], 'are', ['over', 'a', 'counter'], 'served'], '.', 'room']	[['a', 'room'], 'or', 'establishment', 'where', ['alcoholic', 'drinks'], 'are', 'served', 'over', ['a', 'counter'], '.']
barn	an outlying farm building for storing grain or animal feed and housing farm animals.	['an', 'outlying', 'farm', 'building', 'for', 'storing', 'grain', 'or', 'animal', 'feed', 'and', 'housing', 'farm', 'animals', '.']	[['an', 'outlying', 'farm', 'building'], ['for', ['storing', ['grain', 'or', 'animal', 'feed', 'and', 'housing', 'farm', 'animals']]], '.']	['building', 'an', 'outlying', 'farm', ['storing', 'for', ['feed', ['grain', 'or', 'animal'], 'and', ['animals', 'housing', 'farm']]], '.']	['an', 'outlying', 'farm', ['for', [['or', 'animal', 'grain'], 'and', ['housing', 'farm', 'animals'], 'feed'], 'storing'], '.', 'building']	[['an', 'outlying', 'farm', 'building'], 'for', 'storing', ['grain', 'or', 'animal', 'feed'], 'and', ['housing', 'farm', 'animals'], '.']
baseball	a ball game played with a bat and ball between two teams of nine players.	['a', 'ball', 'game', 'played', 'with', 'a', 'bat', 'and', 'ball', 'between', 'two', 'teams', 'of', 'nine', 'players', '.']	[['a', 'ball', 'game'], ['played', ['with', [['a', 'bat', 'and', 'ball'], ['between', [['two', 'teams'], ['of', ['nine', 'players']]]]]]], '.']	['played', ['game', 'a', 'ball'], ['bat', 'with', 'a', 'and', 'ball', ['teams', 'between', 'two', ['players', 'of', 'nine']]], '.']	[['a', 'ball', 'game'], ['with', 'a', 'and', 'ball', ['between', 'two', ['of', 'nine', 'players'], 'teams'], 'bat'], '.', 'played']	[['a', 'ball', 'game'], 'played', 'with', ['a', 'bat'], 'and', 'ball', 'between', ['two', 'teams'], 'of', ['nine', 'players'], '.']
basket	a container that is usually woven and has handles.	['a', 'container', 'that', 'is', 'usually', 'woven', 'and', 'has', 'handles', '.']	[[['a', 'container'], ['that', [['is', ['usually', 'woven']], 'and', 'has']]], 'handles', '.']	['container', 'a', ['woven', 'that', 'is', 'usually', 'and', ['handles', 'has']], '.']	['a', ['that', 'is', 'usually', 'and', ['has', 'handles'], 'woven'], '.', 'container']	[['a', 'container'], 'that', 'is', 'usually', 'woven', 'and', 'has', 'handles', '.']
bath	a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it).	['a', 'vessel', 'containing', 'liquid', 'in', 'which', 'something', 'is', 'immersed', '(', 'as', 'to', 'process', 'it', 'or', 'to', 'maintain', 'it', 'at', 'a', 'constant', 'temperature', 'or', 'to', 'lubricate', 'it', ')', '.']	[['a', 'vessel'], ['containing', ['liquid', [['in', 'which'], ['something', ['is', ['immersed', ['-LRB-', ['as', [['to', ['process', 'it']], 'or', ['to', ['maintain', 'it', ['at', ['a', 'constant', 'temperature']]]], 'or', ['to', ['lubricate', 'it']]]], '-RRB-']]]]]]], '.']	['vessel', 'a', ['containing', ['liquid', ['immersed', ['which', 'in'], 'something', 'is', ['process', '-LRB-', 'as', 'to', 'it', 'or', ['maintain', 'to', 'it', ['temperature', 'at', 'a', 'constant']], 'or', ['lubricate', 'to', 'it'], '-RRB-']]]], '.']	['a', [[[['in', 'which'], 'something', 'is', ['-LRB-', 'as', 'to', 'it', 'or', ['to', 'it', ['at', 'a', 'constant', 'temperature'], 'maintain'], 'or', ['to', 'it', 'lubricate'], '-RRB-', 'process'], 'immersed'], 'liquid'], 'containing'], '.', 'vessel']	[['a', 'vessel'], 'containing', 'liquid', 'in', 'which', 'something', 'is', 'immersed', '(', 'as', 'to', 'process', 'it', 'or', 'to', 'maintain', 'it', 'at', ['a', 'constant', 'temperature'], 'or', 'to', 'lubricate', 'it', 'or', 'to', 'maintain', 'it', 'at', 'a', 'constant', 'temperature', 'or', 'to', 'lubricate', 'it', ')', '.']
bathroom	a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet.	['a', 'room', '(', 'as', 'in', 'a', 'residence', ')', 'containing', 'a', 'bathtub', 'or', 'shower', 'and', 'usually', 'a', 'washbasin', 'and', 'toilet', '.']	[[['a', 'room'], ['-LRB-', ['as', ['in', ['a', 'residence']]], '-RRB-']], ['containing', [['a', 'bathtub', 'or', 'shower'], 'and', ['usually', 'a', 'washbasin', 'and', 'toilet']]], '.']	['room', 'a', ['residence', '-LRB-', 'as', 'in', 'a', '-RRB-', ['containing', ['bathtub', 'a', 'or', 'shower'], 'and', ['washbasin', 'usually', 'a', 'and', 'toilet']]], '.']	['a', ['-LRB-', 'as', 'in', 'a', '-RRB-', [['a', 'or', 'shower', 'bathtub'], 'and', ['usually', 'a', 'and', 'toilet', 'washbasin'], 'containing'], 'residence'], '.', 'room']	[['a', 'room'], '(', 'as', 'in', ['a', 'residence'], ')', 'containing', ['a', 'bathtub'], 'or', 'shower', 'and', ['usually', 'a', 'washbasin'], 'and', 'toilet', '.']
bay	an indentation of a shoreline larger than a cove but smaller than a gulf.	['an', 'indentation', 'of', 'a', 'shoreline', 'larger', 'than', 'a', 'cove', 'but', 'smaller', 'than', 'a', 'gulf', '.']	[[['an', 'indentation'], ['of', ['a', 'shoreline']]], [['larger', ['than', ['a', 'cove']]], 'but', ['smaller', ['than', ['a', 'gulf']]]], '.']	['indentation', 'an', ['shoreline', 'of', 'a', ['larger', ['cove', 'than', 'a'], 'but', ['smaller', ['gulf', 'than', 'a']]]], '.']	['an', ['of', 'a', [['than', 'a', 'cove'], 'but', [['than', 'a', 'gulf'], 'smaller'], 'larger'], 'shoreline'], '.', 'indentation']	[['an', 'indentation'], 'of', ['a', 'shoreline'], 'larger', 'than', ['a', 'cove'], 'but', 'smaller', 'than', ['a', 'gulf'], '.']
beach	an area of sand sloping down to the water of a sea or lake.	['an', 'area', 'of', 'sand', 'sloping', 'down', 'to', 'the', 'water', 'of', 'a', 'sea', 'or', 'lake', '.']	[[['an', 'area'], ['of', 'sand']], ['sloping', 'down', ['to', [['the', 'water'], ['of', ['a', 'sea', 'or', 'lake']]]]], '.']	['area', 'an', ['sand', 'of'], ['sloping', ['down', ['water', 'to', 'the', ['sea', 'of', 'a', 'or', 'lake']]]], '.']	['an', ['of', 'sand'], [[['to', 'the', ['of', 'a', 'or', 'lake', 'sea'], 'water'], 'down'], 'sloping'], '.', 'area']	[['an', 'area'], 'of', 'sand', 'sloping', 'down', 'to', ['the', 'water'], 'of', ['a', 'sea'], 'or', 'lake', '.']
bead	a small ball with a hole through the middle.	['a', 'small', 'ball', 'with', 'a', 'hole', 'through', 'the', 'middle', '.']	[['a', 'small', 'ball'], ['with', ['a', 'hole']], ['through', ['the', 'middle']], '.']	['ball', 'a', 'small', ['hole', 'with', 'a', ['middle', 'through', 'the']], '.']	['a', 'small', ['with', 'a', ['through', 'the', 'middle'], 'hole'], '.', 'ball']	[['a', 'small', 'ball'], 'with', ['a', 'hole'], 'through', ['the', 'middle'], '.']
